Time (s);Horizontal Wave Bending Moment (N.m);Vertical Wave Bending Moment (N.m);Torsional Wave Bending Moment  (N.m)
44.3;5029.84130859375;-2631409;1319.79296875
44.4;6014.58203125;-2673530.5;1680.40295410156
44.5;6935.5615234375;-2667587.5;1831.76574707031
44.6;7791.34423828125;-2602988;1761.9892578125
44.7;8551.35546875;-2470915.5;1494.99658203125
44.8;9196.25390625;-2266882;1084.29956054688
44.9;9722.650390625;-1992290;600.944213867188
45;10128.73046875;-1655026.25;119.1845703125
45.1;10412.7783203125;-1268852;-297.654174804688
45.2;10597.296875;-851733.875;-607.836181640625
45.3;10694.048828125;-423441.9375;-796.9404296875
45.4;10724.740234375;-2940.05859375;-877.38134765625
45.5;10707.08984375;393890.125;-882.318542480469
45.6;10656.1279296875;755870.625;-855.449401855469
45.7;10577.091796875;1076994.25;-839.21728515625
45.8;10472.845703125;1355943.5;-864.037475585938
45.9;10343.310546875;1594651.75;-940.777587890625
46;10178.392578125;1796324.25;-1058.44897460938
46.1;9972.658203125;1963412.5;-1187.16320800781
46.2;9720.208984375;2096022;-1285.79711914063
46.3;9422.86328125;2191079.5;-1312.27233886719
46.4;9090.171875;2242492;-1235.27770996094
46.5;8774.470703125;2242034;-1041.50329589844
46.6;8387.283203125;2182092.5;-742.316162109375
46.7;7993.1064453125;2056513;-370.84326171875
46.8;7602.55224609375;1863339.25;22.7967529296875
46.9;7227.59326171875;1605958.25;381.946044921875
47;6860.81396484375;1293469.5;655.356689453125
47.1;6493.50390625;939862;808.5673828125
47.2;6110.6455078125;562389.125;831.86083984375
47.3;5697.36865234375;179100.71875;743.098388671875
47.4;5235.46435546875;-193702.0625;584.751403808594
47.5;4712.05517578125;-543642.875;415.048706054688
47.6;4124.34375;-863742.75;295.611083984375
47.7;3470.60620117188;-1152651.75;277.403137207031
47.8;2760.64306640625;-1413838.25;388.897521972656
47.9;2008.470703125;-1653596.75;627.754150390625
48;1236.89916992188;-1878519.5;959.157409667969
48.1;456.345458984375;-2092815.5;1321.40954589844
48.2;-312.852294921875;-2296120;1635.93212890625
48.3;-1069.87084960938;-2482282;1823.09326171875
48.4;-1804.53515625;-2639337;1818.33569335938
48.5;-2537.19189453125;-2750843;1585.96801757813
48.6;-3282.88818359375;-2798286;1128.63439941406
48.7;-4108.32666015625;-2764412;489.033569335938
48.8;-4909.599609375;-2635926.5;-254.24560546875
48.9;-5774.55908203125;-2406786.5;-1001.42504882813
49;-6677.67724609375;-2079539.5;-1646.16552734375
49.1;-7626.00244140625;-1665597.75;-2095.42138671875
49.2;-8593.4326171875;-1184221.5;-2284.939453125
49.3;-9550.67578125;-659944.75;-2191.30078125
49.4;-10463.90625;-119442.5;-1835.66845703125
49.5;-11298.1337890625;411914;-1280.61303710938
49.6;-12022.4306640625;913147.75;-618.8330078125
49.7;-12613.369140625;1369740.75;42.927978515625
49.8;-13056.4248046875;1774552.75;602.09765625
49.9;-13341.6259765625;2127259.5;977.39892578125
50;-13477.7890625;2432638;1121.5458984375
50.1;-13476.0947265625;2698065;1026.99462890625
50.2;-13352.84375;2930715.5;725.617431640625
50.3;-13126.3203125;3135146.5;280.20654296875
50.4;-12794.4501953125;3311576;-228.33740234375
50.5;-12385.9248046875;3455298;-716.357788085938
50.6;-11877.4921875;3557339.5;-1111.796875
50.7;-11273.7255859375;3605962;-1365.36083984375
50.8;-10574.681640625;3588964.5;-1456.31103515625
50.9;-9758.169921875;3496049.5;-1392.02490234375
51;-8828.1669921875;3320834;-1202.41796875
51.1;-7787.39892578125;3062130;-930.272216796875
51.2;-6637.90771484375;2724246.5;-620.37255859375
51.3;-5398.86279296875;2316315;-309.742065429688
51.4;-4085.60131835938;1850733.5;-20.9034423828125
51.5;-2721.4091796875;1341382.5;240.25732421875
51.6;-1328.92431640625;801646.875;481.399658203125
51.7;70.8900451660156;243141.375;717.909423828125
51.8;1461.97143554688;-325081.1875;964.194702148438
51.9;2829.82885742188;-896193.125;1225.5458984375
52;4165.404296875;-1464626;1492.90563964844
52.1;5461.4775390625;-2024469.75;1741.07958984375
52.2;6708.927734375;-2567938;1932.32666015625
52.3;7895.6630859375;-3084129;2023.93969726563
52.4;9006.6796875;-3558552;1978.5869140625
52.5;10021.408203125;-3973606.5;1775.0009765625
52.6;10918.130859375;-4310191;1416.01098632813
52.7;11671.4765625;-4549941;933.789672851563
52.8;12255.0849609375;-4677986;386.89794921875
52.9;12620.724609375;-4685704;-147.08349609375
53;12822.3505859375;-4571747;-583.4296875
53.1;12834.4609375;-4344174;-847.1015625
53.2;12670.431640625;-4018930;-887.21240234375
53.3;12348.1474609375;-3618216.5;-689.08740234375
53.4;11905.12109375;-3167543;-280.718994140625
53.5;11370.755859375;-2692269.5;270.076538085938
53.6;10781.134765625;-2214069;862.504272460938
53.7;10165.908203125;-1748216;1380.0224609375
53.8;9539.0927734375;-1301992.25;1708.90698242188
53.9;8910.58984375;-874551.375;1758.38427734375
54;8275.76171875;-458254.125;1477.50048828125
54.1;7625.28564453125;-41364.125;864.953125
54.2;6939.3564453125;388668.8125;-28.0611572265625
54.3;6198.08837890625;841661.875;-1104.41259765625
54.4;5400.35302734375;1321788.5;-2235.18432617188
54.5;4532.81689453125;1825671;-3278.95825195313
54.6;3601.623046875;2341849;-4103.24951171875
54.7;2621.9716796875;2851826;-4603.6611328125
54.8;1618.10009765625;3332246.5;-4718.748046875
54.9;619.9697265625;3758046.5;-4436.86083984375
55;-340.07421875;4105703;-3795.42041015625
55.1;-1232.77026367188;4356326;-2872.23315429688
55.2;-2013.94812011719;4497700;-1771.177734375
55.3;-2648.90258789063;4525561;-606.352294921875
55.4;-3232.60473632813;4442497;515.47509765625
55.5;-3696.52685546875;4257829;1508.1279296875
55.6;-4069.931640625;3984775.5;2311.9794921875
55.7;-4347.50732421875;3638215.5;2898.4375
55.8;-4552.56884765625;3232781.5;3264.5810546875
55.9;-4693.9365234375;2781484;3425.6513671875
56;-4780.9697265625;2295169.5;3405.98876953125
56.1;-4821.0283203125;1782861.25;3230.376953125
56.2;-4817.98779296875;1252814.5;2918.18994140625
56.3;-4776.5068359375;713824.75;2482.07446289063
56.4;-4698.67333984375;176399.53125;1930.28002929688
56.5;-4600.8330078125;-346567.9375;1272.3466796875
56.6;-4492.55712890625;-839976.5;526.421936035156
56.7;-4382.23486328125;-1287511.5;-274.884033203125
56.8;-4298.484375;-1673533.75;-1080.78369140625
56.9;-4258.91650390625;-1985161.25;-1824.2373046875
57;-4262.93408203125;-2214556.5;-2427.68359375
57.1;-4331.79931640625;-2360519;-2813.9697265625
57.2;-4452.07275390625;-2429251.5;-2918.76416015625
