Nama Bagian;n;b;h;a;Z;mapped_index;Structure element;μ (a) [mm/years];CoV (a);index;b_t0;h_t0;b_t10;h_t10;b_t20;h_t20;b_t30;h_t30
Long Stiff Web 1 Frame;2;0.9;8.1;0;56.05;SLW;Sekat Long Web;0.0716;0.8902;SLW;0.9;8.1;0.8284;8.0284;0.7568;7.956799999999999;0.6852;7.885199999999999
Long Stiff Web 2 Web;2;15.0;0.9;0;122.55;SLW;Sekat Long Web;0.0716;0.8902;SLW;15.0;0.9;14.9284;0.8284;14.8568;0.7568;14.7852;0.6852
Long Stiff Web 2 Frame;2;0.9;8.1;0;118.05;SLW;Sekat Long Web;0.0716;0.8902;SLW;0.9;8.1;0.8284;8.0284;0.7568;7.956799999999999;0.6852;7.885199999999999
Long Stiff Web 3 Web;2;15.0;0.9;0;183.55;SLW;Sekat Long Web;0.0716;0.8902;SLW;15.0;0.9;14.9284;0.8284;14.8568;0.7568;14.7852;0.6852
Long Stiff Web 3 Frame;2;0.9;8.1;0;179.05;SLW;Sekat Long Web;0.0716;0.8902;SLW;0.9;8.1;0.8284;8.0284;0.7568;7.956799999999999;0.6852;7.885199999999999
Long Stiff Web 4 Web;2;15.0;0.9;0;244.55;SLW;Sekat Long Web;0.0716;0.8902;SLW;15.0;0.9;14.9284;0.8284;14.8568;0.7568;14.7852;0.6852
Long Stiff Web 4 Frame;2;0.9;8.1;0;240.05;SLW;Sekat Long Web;0.0716;0.8902;SLW;0.9;8.1;0.8284;8.0284;0.7568;7.956799999999999;0.6852;7.885199999999999
Long Stiff Web 5 Web;2;15.0;0.9;0;305.55;SLW;Sekat Long Web;0.0716;0.8902;SLW;15.0;0.9;14.9284;0.8284;14.8568;0.7568;14.7852;0.6852
Long Stiff Web 5 Frame;2;0.9;8.1;0;301.05;SLW;Sekat Long Web;0.0716;0.8902;SLW;0.9;8.1;0.8284;8.0284;0.7568;7.956799999999999;0.6852;7.885199999999999
Long Stiff Web 6 Web;2;15.0;0.9;0;366.55;SLW;Sekat Long Web;0.0716;0.8902;SLW;15.0;0.9;14.9284;0.8284;14.8568;0.7568;14.7852;0.6852
Long Stiff Web 6 Frame;2;0.9;8.1;0;362.05;SLW;Sekat Long Web;0.0716;0.8902;SLW;0.9;8.1;0.8284;8.0284;0.7568;7.956799999999999;0.6852;7.885199999999999
Long Stiff Web 7 Web;2;15.0;0.9;0;427.55;SLW;Sekat Long Web;0.0716;0.8902;SLW;15.0;0.9;14.9284;0.8284;14.8568;0.7568;14.7852;0.6852
Long Stiff Web 7 Frame;2;0.9;8.1;0;423.05;SLW;Sekat Long Web;0.0716;0.8902;SLW;0.9;8.1;0.8284;8.0284;0.7568;7.956799999999999;0.6852;7.885199999999999
Long Stiff Web 8 Web;2;15.0;0.9;0;488.55;SLW;Sekat Long Web;0.0716;0.8902;SLW;15.0;0.9;14.9284;0.8284;14.8568;0.7568;14.7852;0.6852
Long Stiff Web 8 Frame;2;0.9;8.1;0;484.05;SLW;Sekat Long Web;0.0716;0.8902;SLW;0.9;8.1;0.8284;8.0284;0.7568;7.956799999999999;0.6852;7.885199999999999
Long Stiff Web 9 Web;2;15.0;0.9;0;549.55;SLW;Sekat Long Web;0.0716;0.8902;SLW;15.0;0.9;14.9284;0.8284;14.8568;0.7568;14.7852;0.6852
Long Stiff Web 9 Frame;2;0.9;8.1;0;545.05;SLW;Sekat Long Web;0.0716;0.8902;SLW;0.9;8.1;0.8284;8.0284;0.7568;7.956799999999999;0.6852;7.885199999999999
SEKAT MEMANJANG P/S Web;2;1.0;550.0;0;303.1;SLW;Sekat Long Web;0.0716;0.8902;SLW;1.0;550.0;0.9284;549.9284;0.8568;549.8568;0.7852;549.7852
SEKAT MEMANJANG P/S Frame;2;12.5;550.0;0;303.1;SLF;Sekat Long flange;0.0588;1.003;SLF;12.5;550.0;12.4412;549.9412;12.3824;549.8824;12.3236;549.8236
Long Stiff CL 1 Web;2;15.0;0.9;0;60.55;SLW;Sekat Long Web;0.0716;0.8902;SLW;15.0;0.9;14.9284;0.8284;14.8568;0.7568;14.7852;0.6852
Long Stiff CL 1 Frame;2;0.9;8.1;0;56.05;SLF;Sekat Long flange;0.0588;1.003;SLF;0.9;8.1;0.8412000000000001;8.0412;0.7824;7.982399999999999;0.7236;7.9235999999999995
Long Stiff CL 2 Web;2;15.0;0.9;0;122.55;SLW;Sekat Long Web;0.0716;0.8902;SLW;15.0;0.9;14.9284;0.8284;14.8568;0.7568;14.7852;0.6852
Long Stiff CL 2 Frame;2;0.9;8.1;0;118.05;SLF;Sekat Long flange;0.0588;1.003;SLF;0.9;8.1;0.8412000000000001;8.0412;0.7824;7.982399999999999;0.7236;7.9235999999999995
Long Stiff CL 3 Web;2;15.0;0.9;0;183.55;SLW;Sekat Long Web;0.0716;0.8902;SLW;15.0;0.9;14.9284;0.8284;14.8568;0.7568;14.7852;0.6852
Long Stiff CL 3 Frame;2;0.9;8.1;0;179.05;SLF;Sekat Long flange;0.0588;1.003;SLF;0.9;8.1;0.8412000000000001;8.0412;0.7824;7.982399999999999;0.7236;7.9235999999999995
Long Stiff CL 4 Web;2;15.0;0.9;0;244.55;SLW;Sekat Long Web;0.0716;0.8902;SLW;15.0;0.9;14.9284;0.8284;14.8568;0.7568;14.7852;0.6852
Long Stiff CL 4 Frame;2;0.9;8.1;0;240.05;SLF;Sekat Long flange;0.0588;1.003;SLF;0.9;8.1;0.8412000000000001;8.0412;0.7824;7.982399999999999;0.7236;7.9235999999999995
Long Stiff CL 5 Web;2;15.0;0.9;0;305.55;SLW;Sekat Long Web;0.0716;0.8902;SLW;15.0;0.9;14.9284;0.8284;14.8568;0.7568;14.7852;0.6852
Long Stiff CL 5 Frame;2;0.9;8.1;0;301.05;SLF;Sekat Long flange;0.0588;1.003;SLF;0.9;8.1;0.8412000000000001;8.0412;0.7824;7.982399999999999;0.7236;7.9235999999999995
Long Stiff CL 6 Web;2;15.0;0.9;0;366.55;SLW;Sekat Long Web;0.0716;0.8902;SLW;15.0;0.9;14.9284;0.8284;14.8568;0.7568;14.7852;0.6852
Long Stiff CL 6 Frame;2;0.9;8.1;0;362.05;SLF;Sekat Long flange;0.0588;1.003;SLF;0.9;8.1;0.8412000000000001;8.0412;0.7824;7.982399999999999;0.7236;7.9235999999999995
Long Stiff CL 7 Web;2;15.0;0.9;0;427.55;SLW;Sekat Long Web;0.0716;0.8902;SLW;15.0;0.9;14.9284;0.8284;14.8568;0.7568;14.7852;0.6852
Long Stiff CL 7 Frame;2;0.9;8.1;0;423.05;SLF;Sekat Long flange;0.0588;1.003;SLF;0.9;8.1;0.8412000000000001;8.0412;0.7824;7.982399999999999;0.7236;7.9235999999999995
Long Stiff CL 8 Web;2;15.0;0.9;0;488.55;SLW;Sekat Long Web;0.0716;0.8902;SLW;15.0;0.9;14.9284;0.8284;14.8568;0.7568;14.7852;0.6852
Long Stiff CL 8 Frame;2;0.9;8.1;0;484.05;SLF;Sekat Long flange;0.0588;1.003;SLF;0.9;8.1;0.8412000000000001;8.0412;0.7824;7.982399999999999;0.7236;7.9235999999999995
