Time (s);Momen Horizontal (N.m);Momen Vertikal (N.m);Momen Torsional (N.m)
190.5;8712.04296875;-1803219.75;2011.48999023438
191;4918.2001953125;-5067253;2372.41455078125
191.5;294.433349609375;-7325400;2371.39038085938
192;-4484.638671875;-8151071;1934.20654296875
192.5;-8692.958984375;-7444907;1073.30383300781
193;-11654.181640625;-5467527;-79.8165893554688
193.5;-12868.560546875;-2770425;-1282.81909179688
194;-12107.1484375;-39707.875;-2241.97119140625
194.5;-9463.5244140625;2092829;-2702.81665039063
195;-5354.1064453125;3211651.5;-2536.4228515625
195.5;-445.541015625;3201205.5;-1786.23657226563
196;4453.3544921875;2230725;-656.669311523438
196.5;8549.912109375;656018.125;550.882019042969
197;11205.3544921875;-1116642.5;1531.72485351563
197.5;12053.359375;-2748926.5;2064.73046875
198;11028.3671875;-4028666;2068.92529296875
198.5;8376.6923828125;-4855103;1612.50219726563
199;4581.99658203125;-5173466;873.081359863281
199.5;275.186767578125;-4900257;69.4595947265625
200;-3883.546875;-3889055;-613.25732421875
200.5;-7287.1435546875;-1963482;-1075.37036132813
201;-9473.880859375;987151.6875;-1311.84680175781
201.5;-10163.80859375;4885184.5;-1383.51733398438
202;-9287.119140625;9371926;-1364.73461914063
202.5;-6987.18359375;13793184;-1296.12133789063
203;-3598.15405273438;17288468;-1162.3994140625
203.5;374.91943359375;18971740;-905.078369140625
204;4334.11767578125;18152996;-457.524627685547
204.5;7656.79296875;14535888;211.742492675781
205;9776.6298828125;8329804;1068.76733398438
205.5;10300.69140625;240558.75;2003.83642578125
206;9078.95703125;-8654940;2847.67578125
206.5;6244.69580078125;-17113530;3406.83276367188
207;2220.02978515625;-23950320;3512.255859375
207.5;-2369.32080078125;-28228712;3069.77856445313
208;-6764.70458984375;-29377384;2095.13940429688
208.5;-10236.154296875;-27230360;721.36962890625
209;-12182.509765625;-22004968;-828.994262695313
209.5;-12263.23828125;-14248680;-2300.25610351563
210;-10407.21875;-4779217;-3468.7412109375
210.5;-6861.58984375;5379351;-4190.935546875
211;-2119.88720703125;15065984;-4421.837890625
211.5;3146.91845703125;23088536;-4196.14990234375
212;8186.8701171875;28367508;-3589.33837890625
212.5;12263.2001953125;30113388;-2677.1728515625
213;14752.73828125;28001960;-1516.13989257813
213.5;15239.197265625;22295016;-155.273681640625
214;13540.71484375;13855142;1330.72192382813
214.5;9796.4599609375;4028467.5;2800.55541992188
215;4434.041015625;-5596309;4034.71875
215.5;-1842.25537109375;-13499480;4766.76171875
216;-8143.9052734375;-18535116;4761.7392578125
216.5;-13518.1044921875;-20149768;3915.44018554688
217;-17097.90625;-18454268;2327.52124023438
217.5;-18252.486328125;-14137974;308.06494140625
218;-16697.64453125;-8255479;-1698.75830078125
218.5;-12576.91015625;-1958531.75;-3248.24780273438
219;-6451.5146484375;3751509;-4033.89404296875
219.5;775.595703125;8183060;-3973.69873046875
220;8010.88720703125;10998076;-3213.19189453125
220.5;14144.74609375;12154458;-2052.18115234375
221;18243.6015625;11792590;-829.647766113281
221.5;19691.17578125;10119564;184.228576660156
222;18281.396484375;7341108;855.510437011719
222.5;14237.18359375;3656436;1191.48669433594
223;8150.7255859375;-703358;1299.45629882813
223.5;887.304077148438;-5420346;1310.36547851563
224;-6546.30517578125;-10064568;1311.94165039063
224.5;-13138.56640625;-14122786;1311.03210449219
225;-18010.37890625;-17074672;1243.04187011719
225.5;-20503.3828125;-18493424;1017.38360595703
226;-20269.8046875;-18135424;578.056213378906
226.5;-17329.7421875;-15979176;-55.8261871337891
227;-12034.8671875;-12210466;-786.94677734375
227.5;-5060.5673828125;-7157906;-1476.51293945313
228;2681.55810546875;-1219900.5;-2000.6787109375
228.5;10163.064453125;5189311.5;-2298.8720703125
229;16380.529296875;11651882;-2392.24267578125
229.5;20503.86328125;17718128;-2360.30541992188
230;21990;22870800;-2289.330078125
230.5;20670.09765625;26520316;-2213.78173828125
231;16750.076171875;28055992;-2080.677734375
231.5;10784.6630859375;26966596;-1758.82727050781
232;3563.55810546875;22997564;-1096.0068359375
232.5;-3999.28588867188;16295066;-4.5660400390625
233;-10987.35546875;7477350;1461.27172851563
233.5;-16594.845703125;-2406966;3075.78881835938
234;-20201.515625;-12042722;4482.583984375
234.5;-21430.82421875;-20099668;5297.25244140625
235;-20168.609375;-25501832;5235.1201171875
235.5;-16563.33984375;-27645828;4215.10693359375
236;-11002.5576171875;-26500376;2398.392578125
236.5;-4101.43017578125;-22567724;147.856689453125
237;3359.3671875;-16722724;-2076.11938476563
237.5;10503.384765625;-9989708;-3843.8310546875
238;16439.73046875;-3320813.5;-4865.48046875
238.5;20384.6484375;2556788;-5047.45849609375
239;21774.1171875;7200292;-4487.2392578125
239.5;20356.291015625;10419318;-3415.396484375
240;16258.701171875;12194650;-2111.46923828125
240.5;9983.763671875;12591788;-822.81005859375
241;2354.357421875;11713962;287.857421875
241.5;-5602.140625;9703246;1152.8916015625
242;-12809.4248046875;6775630;1774.97216796875
242.5;-18307.38671875;3260160.5;2179.939453125
243;-21363.025390625;-400289.25;2379.6904296875
243.5;-21587.27734375;-3698034;2357.89453125
244;-18971.0703125;-6156198;2087.5302734375
244.5;-13873.76953125;-7435833;1563.84130859375
245;-6969.7099609375;-7415276;835.572937011719
245.5;840.664001464844;-6208244;10.8997192382813
246;8547.439453125;-4112685;-763.522094726563
246.5;15149.2958984375;-1507387;-1344.5615234375
247;19777;1258297.25;-1637.38061523438
247.5;21806.6640625;3942947.5;-1626.8466796875
248;20952.8984375;6424596;-1381.95043945313
248.5;17317.25390625;8652772;-1030.74072265625
249;11391.4296875;10560954;-711.215576171875
249.5;3996.59106445313;11991284;-515.828308105469
250;-3825.8662109375;12669660;-450.574951171875
250.5;-10977.8359375;12256336;-430.327819824219
251;-16466.671875;10457086;-316.122192382813
251.5;-19569.16796875;7157235;18.6068115234375
252;-19934.185546875;2523483;620.413208007813
252.5;-17628.03125;-2973649;1420.7763671875
253;-13100.6875;-8632549;2247.09057617188
253.5;-7096.2021484375;-13674768;2877.751953125
254;-511.692138671875;-17427792;3114.70922851563
254.5;5731.8427734375;-19479604;2848.59716796875
255;10834.5400390625;-19748584;2092.5126953125
255.5;14207.6982421875;-18453704;979.768859863281
256;15527.3642578125;-15993076;-273.778747558594
256.5;14740.935546875;-12791774;-1429.75830078125
257;12061.8388671875;-9166052;-2291.884765625
257.5;7925.1455078125;-5265358;-2755.86669921875
258;2927.0390625;-1101127.5;-2827.6083984375
258.5;-2239.09790039063;3351695.5;-2601.79858398438
259;-6865.7724609375;8032340;-2209.69116210938
259.5;-10318.63671875;12703496;-1760.31909179688
260;-12126.4482421875;16938204;-1300.00439453125
260.5;-12054.09375;20190160;-810.4287109375
261;-10143.427734375;21928768;-243.54541015625
261.5;-6722.45849609375;21783884;430.640625
262;-2338.47607421875;19653316;1185.59680175781
262.5;2304.4453125;15736460;1932.65393066406
263;6476.4853515625;10485348;2546.87451171875
263.5;9544.9580078125;4501906;2911.64013671875
264;11069.94140625;-1583478;2961.21411132813
264.5;10864.5078125;-7205837;2702.06420898438
265;9015.71484375;-11915978;2208.79296875
265.5;5845.3916015625;-15379880;1594.6025390625
266;1847.80102539063;-17359308;970.25146484375
266.5;-2392.03564453125;-17700096;407.7041015625
