Time (s);Momen Horizontal (N.m);Momen Vertikal (N.m);Momen Torsional (N.m)
196;3161608.5;-415109.75;1127554.5
196.5;11858400;-1207082.75;1047756.625
197;19039676;-1588553.5;714447.9375
197.5;23476500;-1467285;182943.75
198;24334404;-899787.25;-440095.25
198.5;21348758;-71374.5;-1020519.5625
199;14902725;758320.6875;-1424829.25
199.5;5985421;1333679;-1548971.5
200;-3968549;1477230.75;-1344644.25
200.5;-13330476;1141145.75;-837635.875
201;-20572476;420612.25;-130394.34375
201.5;-24545692;-472731.5625;617479.125
202;-24686954;-1271102.625;1229322.75
202.5;-21109124;-1728172.25;1560183.125
203;-14560614;-1689317.25;1536721.25
203.5;-6263026;-1139847.25;1174302
204;2336634;-213791.9375;567412.5625
204.5;9844168;839503.5;-139216.484375
205;15170099;1722221.25;-787022.25
205.5;17703692;2171237.5;-1237942
206;17379296;2033500;-1401378
206.5;14629754;1312791;-1252087.25
207;10244269;176181;-836144.4375
207.5;5173743;-1090621.5;-261770.765625
208;326811.4375;-2154465.5;326168.75
208.5;-3596077.25;-2722768;783849.25
209;-6198294;-2622803.5;1007458.875
209.5;-7401596.5;-1850209;960664.375
210;-7387049;-575153;681358.875
210.5;-6488693;896972.25;266138.96875
211;-5074818;2202856;-160955.59375
211.5;-3451474.5;3013079.5;-484607.125
212;-1810045;3117811.25;-628740.9375
212.5;-228211.96875;2482231.25;-573808.75
213;1287671.5;1256864.5;-357726
213.5;2738127.5;-259542.3125;-61014.66796875
214;4072420;-1697048.75;218901.0625
214.5;5159544.5;-2708016;396600.875
215;5798929;-3053965;422668.28125
215.5;5771019;-2669115.5;296065.25
216;4909329.5;-1668629;62369.4609375
216.5;3172425.5;-318599.75;-200696.53125
217;689829.875;1036289.625;-406084.75
217.5;-2236055.75;2062895;-482815.78125
218;-5176058;2525342.5;-397799.96875
218.5;-7659382;2341296.5;-168062.59375
219;-9275258;1597840.75;141481.046875
219.5;-9765056;520379;435585.96875
220;-9078622;-591565.375;617694.25
220.5;-7378691.5;-1448059.625;620957.4375
221;-4992552;-1845283.5;430864.34375
221.5;-2324238.75;-1716736.75;91626.6796875
222;249027.0625;-1144694.5;-305573.625
222.5;2465874.5;-330309.5;-648145.6875
